證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,元大台灣50,"3,283,653","4,057","452,105,710",137.80,138.30,137.15,138.30,-,0.40,138.30,130,138.35,4,0.00
0051,元大中型100,"36,534",57,"2,039,741",55.50,56.10,55.40,56.10,+,0.30,56.20,35,56.45,35,0.00
0052,富邦科技,"762,455",386,"96,003,806",126.00,126.50,125.00,126.50,+,0.40,126.50,14,126.55,1,0.00
0053,元大電子,"9,768",47,"649,056",65.80,66.90,65.80,66.90,-,0.10,66.65,20,67.00,1,0.00
0054,元大台商50,"13,555",32,"426,859",31.29,31.55,31.29,31.55,+,0.08,31.38,26,31.55,1,0.00
0055,元大MSCI金融,"151,458",93,"3,165,387",21.00,21.00,20.83,20.99,-,0.08,20.98,12,21.01,1,0.00
0056,元大高股息,"4,712,941","3,673","163,699,530",34.67,34.90,34.57,34.90,+,0.12,34.90,54,34.91,19,0.00
0057,富邦摩台,"25,920",52,"2,434,138",93.25,94.05,93.25,94.05,-,0.55,94.35,10,94.70,20,0.00
0061,元大寶滬深,"699,669",185,"16,342,554",23.44,23.45,23.24,23.44, ,0.00,23.41,2,23.44,32,0.00
006203,元大MSCI台灣,"1,489",27,"96,723",65.40,65.40,65.40,65.40,-,0.40,65.55,35,65.85,35,0.00
006204,永豐臺灣加權,"21,327",26,"1,905,044",88.55,89.40,88.55,89.40,+,0.20,89.55,50,89.80,50,0.00
006205,富邦上証,"1,150,657",257,"43,589,420",37.81,38.04,37.68,37.83,-,0.13,37.80,149,37.83,189,0.00
006206,元大上證50,"292,083",108,"11,109,527",38.06,38.24,37.80,38.00,-,0.27,38.00,2,38.01,30,0.00
006207,FH滬深,"168,010",53,"5,157,040",30.81,30.84,30.46,30.70,-,0.12,30.69,2,30.70,6,0.00
006208,富邦台50,"1,098,437","1,217","87,105,997",79.45,79.60,78.90,79.60,-,0.10,79.55,2,79.65,36,0.00
00625K,富邦上証+R,0,0,0,--,--,--,--, ,0.00,8.69,5,8.87,2,0.00
00631L,元大台灣50正2,"4,208,745","1,224","527,283,027",124.25,127.20,123.85,127.20,+,0.55,127.15,102,127.20,3,0.00
00632R,元大台灣50反1,"103,386,859","5,330","588,085,293",5.71,5.73,5.64,5.64,-,0.01,5.64,"19,313",5.65,"6,417",0.00
00633L,富邦上証正2,"6,964,800","1,602","467,756,099",66.40,68.25,66.20,67.00,-,0.25,67.00,24,67.05,99,0.00
00634R,富邦上証反1,"359,000",49,"1,378,950",3.86,3.86,3.81,3.84,+,0.01,3.84,376,3.85,104,0.00
00635U,期元大S&P黃金,"1,528,606",531,"37,298,783",24.38,24.47,24.31,24.39,-,0.52,24.38,9,24.39,201,0.00
00636,國泰中國A50,"1,912,960",478,"52,363,668",27.27,27.52,27.16,27.32,-,0.08,27.31,60,27.32,89,0.00
00636K,國泰中國A50+U,200,2,"1,974",9.87,9.87,9.87,9.87,X,0.00,9.80,12,9.88,6,0.00
00637L,元大滬深300正2,"41,220,314","8,029","1,096,388,153",26.29,27.02,26.21,26.50,-,0.05,26.49,84,26.50,700,0.00
00638R,元大滬深300反1,"530,000",107,"4,081,790",7.74,7.77,7.64,7.72,+,0.03,7.72,285,7.73,11,0.00
00639,富邦深100,"687,220",206,"11,505,977",16.70,16.85,16.57,16.79,+,0.01,16.78,2,16.79,208,0.00
00640L,富邦日本正2,"234,598",35,"6,806,003",29.05,29.06,28.93,29.06,-,0.40,29.04,1,29.06,52,0.00
00641R,富邦日本反1,"197,000",39,"2,074,390",10.51,10.54,10.51,10.52,+,0.07,10.52,60,10.53,10,0.00
00642U,期元大S&P石油,"11,450,995","1,807","139,440,224",12.15,12.26,12.13,12.26,-,0.07,12.25,205,12.26,"3,609",0.00
00643,群益深証中小,"464,150",183,"8,266,238",17.80,17.92,17.64,17.85,-,0.03,17.84,1,17.87,17,0.00
00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.00,4.15,2,4.22,1,0.00
00645,富邦日本,"105,786",50,"2,709,878",25.68,25.68,25.62,25.63,-,0.24,25.63,31,25.66,1,0.00
00646,元大S&P500,"372,063",187,"13,303,548",35.67,35.89,35.67,35.88,-,0.11,35.85,3,35.88,48,0.00
00647L,元大S&P500正2,"89,319",22,"5,552,134",62.00,62.45,62.00,62.45,-,0.90,62.35,71,62.45,117,0.00
00648R,元大S&P500反1,"1,095,000",94,"8,035,040",7.33,7.35,7.32,7.32,+,0.06,7.32,286,7.33,8,0.00
00650L,FH香港正2,"1,316,500",143,"38,951,560",29.43,29.80,29.11,29.69,-,0.07,29.69,13,29.71,90,0.00
00651R,FH香港反1,"147,150",14,"1,019,449",6.93,6.94,6.88,6.88, ,0.00,6.87,234,6.89,15,0.00
00652,富邦印度,"69,721",75,"1,820,430",26.15,26.19,26.05,26.19,-,0.12,26.16,20,26.21,40,0.00
00653L,富邦印度正2,"367,320",117,"14,023,340",38.00,38.50,37.98,38.40,-,0.25,38.39,101,38.40,10,0.00
00654R,富邦印度反1,"1,017,000",112,"9,304,350",9.18,9.19,9.13,9.13,+,0.04,9.11,22,9.12,1,0.00
00655L,國泰中國A50正2,"4,646,600",967,"235,972,945",50.30,51.60,50.00,50.55,-,0.30,50.50,54,50.55,176,0.00
00656R,國泰中國A50反1,"124,000",13,"878,180",7.12,7.12,7.04,7.09,+,0.04,7.08,199,7.09,49,0.00
00657,國泰日經225,"103,384",31,"3,633,613",35.11,35.15,35.11,35.15,-,0.45,35.15,33,35.24,30,0.00
00657K,國泰日經225+U,200,2,"2,542",12.71,12.71,12.71,12.71,X,0.00,12.66,12,12.74,12,0.00
00660,元大歐洲50,"77,123",32,"2,283,099",29.39,29.62,29.39,29.61,-,0.07,29.56,2,29.61,3,0.00
00661,元大日經225,620,55,"21,979",--,--,--,--, ,0.00,36.11,10,36.34,15,0.00
00662,富邦NASDAQ,"192,745",116,"9,564,370",49.55,49.68,49.50,49.66,-,0.29,49.66,9,49.74,28,0.00
00663L,國泰臺灣加權正2,"7,029",9,"788,411",111.60,113.60,111.60,113.60,-,0.60,114.55,152,114.80,165,0.00
00664R,國泰臺灣加權反1,"5,792,849",410,"37,376,536",6.49,6.50,6.41,6.41,-,0.01,6.40,675,6.41,905,0.00
00665L,富邦恒生國企正2,"94,000",56,"2,199,970",23.51,23.70,23.20,23.60,-,0.12,23.60,2,23.63,50,0.00
00666R,富邦恒生國企反1,"82,000",5,"909,910",11.18,11.18,11.08,11.08,+,0.01,11.12,2,11.13,50,0.00
00668,國泰美國道瓊,"54,991",51,"1,874,859",34.03,34.17,34.01,34.16,-,0.22,34.15,2,34.16,27,0.00
00668K,國泰美國道瓊+U,200,2,"2,462",12.31,12.31,12.31,12.31,X,0.00,12.25,6,12.33,6,0.00
00669R,國泰美國道瓊反1,"2,915,000",344,"23,856,160",8.18,8.20,8.17,8.17,+,0.08,8.17,"1,228",8.18,69,0.00
00670L,富邦NASDAQ正2,"615,200",198,"57,244,608",92.80,93.40,92.50,93.35,-,1.45,93.30,9,93.35,62,0.00
00671R,富邦NASDAQ反1,"3,341,000",227,"19,488,980",5.85,5.85,5.82,5.82,+,0.04,5.82,464,5.83,"1,189",0.00
00673R,期元大S&P原油反1,"1,585,100",229,"24,841,525",15.69,15.75,15.59,15.60,+,0.13,15.60,25,15.63,50,0.00
00674R,期元大S&P黃金反1,"509,001",120,"6,664,013",13.11,13.12,13.05,13.09,+,0.26,13.09,166,13.10,22,0.00
00675L,富邦臺灣加權正2,"407,952",259,"19,747,432",48.10,49.18,47.88,49.18,+,0.18,49.18,79,49.20,3,0.00
00676R,富邦臺灣加權反1,"8,226,000",383,"28,939,450",3.54,3.55,3.49,3.50,-,0.01,3.49,675,3.50,"1,991",0.00
00678,群益NBI生技,"384,644",57,"10,826,977",28.05,28.16,28.04,28.16,-,0.01,28.16,2,28.19,2,0.00
00680L,元大美債20正2,"172,000",21,"3,959,690",23.04,23.13,23.00,23.13,-,0.01,23.12,1,23.13,48,0.00
00681R,元大美債20反1,"50,000",10,"702,550",14.07,14.07,14.02,14.04,+,0.03,14.01,1,14.04,104,0.00
00682U,期元大美元指數,"194,100",94,"3,517,624",18.00,18.16,18.00,18.13,+,0.18,18.12,18,18.13,10,0.00
00683L,期元大美元指正2,"1,512,600",428,"25,429,230",16.83,16.86,16.77,16.80,+,0.23,16.80,14,16.81,28,0.00
00684R,期元大美元指反1,0,0,0,--,--,--,--, ,0.00,19.07,20,19.12,25,0.00
00685L,群益臺灣加權正2,"2,000",2,"85,990",42.79,43.20,42.79,43.20,+,0.48,43.09,10,43.30,10,0.00
00686R,群益臺灣加權反1,"322,000",23,"1,229,110",3.85,3.86,3.81,3.81,-,0.01,3.80,41,3.81,155,0.00
00688L,國泰20年美債正2,"80,000",11,"1,842,700",22.97,23.09,22.95,23.06,-,0.06,23.05,2,23.08,5,0.00
00689R,國泰20年美債反1,"59,000",9,"868,560",14.74,14.74,14.72,14.72,+,0.01,14.71,189,14.74,29,0.00
00690,兆豐藍籌30,"3,307",50,"107,730",32.68,32.68,32.60,32.67,-,0.20,32.74,20,32.81,1,0.00
00692,富邦公司治理,"1,323,972",858,"46,922,572",35.60,35.60,35.27,35.60,-,0.07,35.56,50,35.60,5,0.00
00693U,期街口S&P黃豆,"759,336",348,"16,485,627",21.67,21.76,21.60,21.75,-,0.42,21.74,10,21.75,262,0.00
00700,富邦恒生國企,"104,753",32,"1,949,925",18.49,18.68,18.49,18.68,+,0.01,18.60,6,18.65,30,0.00
00701,國泰股利精選30,"323,224",237,"7,744,699",23.97,24.00,23.91,24.00,-,0.07,23.99,6,24.01,1,0.00
00702,國泰標普低波高息,"100,200",32,"2,066,098",20.62,20.62,20.62,20.62,-,0.23,20.62,9,20.67,50,0.00
00703,台新MSCI中國,"30,356",34,"727,468",24.04,24.08,23.92,24.08,-,0.03,24.09,2,24.10,20,0.00
00706L,期元大S&P日圓正2,"157,065",33,"2,476,225",15.74,15.77,15.74,15.77,-,0.17,15.76,2,15.77,51,0.00
00707R,期元大S&P日圓反1,"1,000",1,"19,890",19.89,19.89,19.89,19.89,X,0.00,19.89,42,19.93,20,0.00
00708L,期元大S&P黃金正2,"2,827,337","1,113","76,665,990",27.05,27.27,27.00,27.10,-,1.23,27.09,24,27.10,164,0.00
